tecnica,model,fold,accuracy,precision,recall,f1,best_params,configuracao
TF-IDF,SVM,2,0.6825,0.6372180451127819,0.8475,0.7274678111587983,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,SVM,3,0.68975,0.6417631677250654,0.859,0.734658969424845,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,SVM,4,0.70475,0.6590291262135922,0.8485,0.7418579234972678,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,SVM,5,0.69525,0.6441491325212255,0.8725,0.7411339987258442,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,DT,1,0.5665,0.5361020629750272,0.9875,0.6949331456720619,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,DT,2,0.562,0.5336773492667028,0.9825,0.6916578669482577,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,DT,3,0.5625,0.5340599455040872,0.98,0.691358024691358,"{'class_weight': 'balanced', 'max_depth': 9}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,DT,4,0.5725,0.5397696105320899,0.984,0.6971307120085016,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,DT,5,0.56,0.5324149108589952,0.9855,0.6913363732023852,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,LR,1,0.7125,0.6754748142031379,0.818,0.7399366802351877,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,LR,2,0.69475,0.6638620109381573,0.789,0.7210418094585332,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,LR,3,0.704,0.6707112970711298,0.8015,0.7302961275626424,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,LR,4,0.7105,0.684811237928007,0.78,0.729312762973352,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
